date,dowAvg,dailyChange
42691,18903.82,35.68
42692,18867.93,-35.89
42693,18867.93,0
42694,18867.93,0
42695,18956.69,88.76
42696,19023.87,67.18
42697,19083.18,59.31
42698,19083.18,0
42699,19152.14,68.96
42700,19152.14,0
42701,19152.14,0
42702,19097.9,-54.24
42703,19121.6,23.7
42704,19123.58,1.98
42705,19191.93,68.35
42706,19170.42,-21.51
42707,19170.42,0
42708,19170.42,0
42709,19216.24,45.82
42710,19251.78,35.54
42711,19549.62,297.84
42712,19614.81,65.19
42713,19756.85,142.04
42714,19756.85,0
42715,19756.85,0
42716,19796.43,39.58
42717,19911.21,114.78
42718,19792.53,-118.68
42719,19852.24,59.71
42720,19843.41,-8.83
42721,19843.41,0
42722,19843.41,0
42723,19883.06,39.65
42724,19974.62,91.56
42725,19941.96,-32.66
42726,19918.88,-23.08
42727,19933.81,14.93
42728,19933.81,0
42729,19933.81,0
42730,19933.81,0
42731,19945.04,11.23
42732,19833.68,-111.36
42733,19819.78,-13.9
42734,19762.6,-57.18
42735,19762.6,0
